manuscript_object,manuscript_value,source_script,source_file,source_variable,notes
Table 2 row 1: Age-only interval,"[-0.04044,\ 0.15093]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,"policy_ranking_robustness_summary: Age-only current matching, Full maintained support", Compact headline presentation in the EER main text.
Table 2 row 3: Verified cell interval,"[-0.00819,\ -0.00298]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,maintained_graph.fixed_anchor_interval, Compact headline presentation in the EER main text.
Table 2 row 4: Verified cell interval,"[$-\infty$,\ $+\infty$]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,maintained_graph.free_anchor_interval, Compact headline presentation in the EER main text.
Table 2 row 6: Largest common component interval,"[0.00004,\ 0.00082]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,maintained_graph.largest_common_component_interval, Compact headline presentation in the EER main text.
Appendix Table B.1 row 1: Age-only interval,"[-0.04044,\ 0.15093]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,"policy_ranking_robustness_summary: Age-only current matching, Full maintained support",
Appendix Table B.1 row 2: Age-only interval,"[-0.00967,\ 0.07886]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,"policy_ranking_robustness_summary: Age-only current matching, Common support only",
Appendix Table B.1 row 3: Verified cell interval,"[-0.00819,\ -0.00298]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,maintained_graph.fixed_anchor_interval,
Appendix Table B.1 row 4: Verified cell interval,"[$-\infty$,\ $+\infty$]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,maintained_graph.free_anchor_interval,
Appendix Table B.1 row 5: Verified cell interval,"[-2.16877,\ 2.15760]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,current_goods_outer_private_slope_envelope,
Appendix Table B.1 row 6: Largest common component interval,"[0.00004,\ 0.00082]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,maintained_graph.largest_common_component_interval,
Appendix Table B.1 row 7: Unit-rescaled graph interval,"[-0.48701,\ 0.50273]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,unit_sensitivity_protocol_summary: theta=1.00,
Appendix Table B.1 row 8: Richer-state system interval,"[-0.03237,\ 0.06770]",python/run_final_diagnostics.py,python/outputs/main_certification_frontier_summary.csv,liquid_illiquid_map_comparison_summary: tercile-plus-earnings interval,
Table 3 rho 0.00%: fixed interval,"[0.65797,\ 0.66309]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"fixed_lower, fixed_upper",Free-anchor status is Unidentified for every row.
Table 3 rho 0.00%: largest-component interval,"[0.66200,\ 0.66254]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"largest_lower, largest_upper",
Table 3 rho 2.00%: fixed interval,"[0.26804,\ 0.27311]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"fixed_lower, fixed_upper",Free-anchor status is Unidentified for every row.
Table 3 rho 2.00%: largest-component interval,"[0.27570,\ 0.27621]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"largest_lower, largest_upper",
Table 3 rho 3.00%: fixed interval,"[0.07594,\ 0.08098]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"fixed_lower, fixed_upper",Free-anchor status is Unidentified for every row.
Table 3 rho 3.00%: largest-component interval,"[0.08540,\ 0.08588]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"largest_lower, largest_upper",
Table 3 rho 3.44%: fixed interval,"[-0.00819,\ -0.00298]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"fixed_lower, fixed_upper",Free-anchor status is Unidentified for every row.
Table 3 rho 3.44%: largest-component interval,"[0.00004,\ 0.00082]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"largest_lower, largest_upper",
Table 3 rho 4.00%: fixed interval,"[-0.11429,\ -0.10928]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"fixed_lower, fixed_upper",Free-anchor status is Unidentified for every row.
Table 3 rho 4.00%: largest-component interval,"[-0.10307,\ -0.10261]",python/run_final_diagnostics.py,python/outputs/discount_schedule_frontier_summary.csv,"largest_lower, largest_upper",
Table 4: Mass in components shared with the other target Target A,1.0000,python/run_final_diagnostics.py,python/outputs/component_exposure_table_summary.csv,target_mass_shared_components_retained_denominator,Denominator is graph-supported target mass.
Table 4: Mass in components shared with the other target Target B,0.2797,python/run_final_diagnostics.py,python/outputs/component_exposure_table_summary.csv,target_mass_shared_components_retained_denominator,Denominator is graph-supported target mass.
Table 4: Component Herfindahl index Target A,0.9999,python/run_final_diagnostics.py,python/outputs/component_exposure_table_summary.csv,component_hhi_original_target_denominator,Denominator is graph-supported target mass.
Table 4: Component Herfindahl index Target B,0.1742,python/run_final_diagnostics.py,python/outputs/component_exposure_table_summary.csv,component_hhi_original_target_denominator,Denominator is graph-supported target mass.
Table 4: Mass in largest common component Target A,0.3706,python/run_final_diagnostics.py,python/outputs/component_exposure_table_summary.csv,largest_common_component_original_target_denominator,Denominator is original target mass.
Table 4: Mass in largest common component Target B,0.2612,python/run_final_diagnostics.py,python/outputs/component_exposure_table_summary.csv,largest_common_component_original_target_denominator,Denominator is original target mass.
Appendix Table B.2: Current-goods unit components,3737,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
Appendix Table B.2: Current-goods unit interval,"[-0.00819,\ -0.00298]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
"Appendix Table B.2: Bounded bridge, $\bar b=0.001$ components",3737,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
"Appendix Table B.2: Bounded bridge, $\bar b=0.001$ interval","[-0.00919,\ -0.00198]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
"Appendix Table B.2: Unit path, $\theta=0.25$ components",62,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
"Appendix Table B.2: Unit path, $\theta=0.25$ interval","[-0.01611,\ -0.00281]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
"Appendix Table B.2: Unit path, $\theta=0.50$ components",62,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
"Appendix Table B.2: Unit path, $\theta=0.50$ interval","[-0.08342,\ -0.02136]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
"Appendix Table B.2: Unit path, $\theta=0.75$ components",47,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
"Appendix Table B.2: Unit path, $\theta=0.75$ interval","[-0.28857,\ 0.30268]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
Appendix Table B.2: Age-state rescaled unit components,37,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
Appendix Table B.2: Age-state rescaled unit interval,"[-0.48701,\ 0.50273]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
Appendix Table B.2: Direct raw Euler proxy wedge components,77,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
Appendix Table B.2: Direct raw Euler proxy wedge interval,"[-0.97832,\ 0.98022]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
Appendix Table B.2: Illustrative lower-tail completion components,not applicable,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,component_count,
Appendix Table B.2: Illustrative lower-tail completion interval,"[-0.02902,\ -0.02402]",python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,"lower_log_ratio, upper_log_ratio",
Appendix Table B.3 tolerance 0.001: interval,"[-0.00374,\ -0.00350]",python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,"lower, upper",Candidate support share is over tolerance candidates.
Appendix Table B.3 tolerance 0.001: candidate support share,0.5686,python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,candidate_support_share,
Appendix Table B.3 tolerance 0.002: interval,"[-0.00664,\ -0.00506]",python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,"lower, upper",Candidate support share is over tolerance candidates.
Appendix Table B.3 tolerance 0.002: candidate support share,0.7438,python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,candidate_support_share,
Appendix Table B.3 tolerance 0.005: interval,"[-0.00819,\ -0.00298]",python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,"lower, upper",Candidate support share is over tolerance candidates.
Appendix Table B.3 tolerance 0.005: candidate support share,0.8993,python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,candidate_support_share,
Appendix Table B.3 tolerance 0.010: interval,"[-0.01055,\ -0.00219]",python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,"lower, upper",Candidate support share is over tolerance candidates.
Appendix Table B.3 tolerance 0.010: candidate support share,0.9268,python/run_final_diagnostics.py,python/outputs/grid_candidate_sensitivity_summary.csv,candidate_support_share,
Text: maintained graph vertices,72171,python/run_final_diagnostics.py,python/outputs/component_graph_exposure_summary.csv,node_count,
Text: maintained graph edges,249501,python/run_final_diagnostics.py,python/outputs/component_graph_exposure_summary.csv,edge_count,
Text: maintained graph components,3737,python/run_final_diagnostics.py,python/outputs/component_graph_exposure_summary.csv,component_count,
Text: maintained graph independent cycles,181067,python/run_final_diagnostics.py,python/outputs/component_graph_exposure_summary.csv,independent_cycles,
Text: component-anchor sign-loss threshold,0.00333,python/run_final_diagnostics.py,python/outputs/component_graph_exposure_summary.csv,component_anchor_sign_threshold,Bounded component-anchor radius at which fixed-anchor sign certification is lost.
Text/Appendix Table B.1: outer private marginal-utility log range,2.16058,python/run_final_diagnostics.py,python/outputs/component_graph_exposure_summary.csv,outer_private_slope_log_range,Global maintained-support range used for the current-goods outer component envelope.
Text: borrowing-kink trim support share,0.7177,python/run_final_diagnostics.py,python/outputs/boundary_kink_trim_summary.csv,trimmed_support_share,Severe support audit that drops lower-bound common-support target cells.
Text: borrowing-kink trim interval,"[-0.00159,\ 0.00090]",python/run_final_diagnostics.py,python/outputs/boundary_kink_trim_summary.csv,"lower_log_ratio, upper_log_ratio","This is a different supported estimand, not the maintained fixed-anchor row."
Text/Appendix Table B.2: bridge sign threshold,0.00298,python/run_final_diagnostics.py,python/outputs/unit_sensitivity_protocol_summary.csv,bounded_bridge_threshold,Target-average bridge corridor before fixed-anchor sign loss.
Text: margin-sufficiency Q dispersion,0.00000,python/run_margin_sufficiency_audit.py,python/outputs/margin_sufficiency_audit_summary.csv,max_abs_delta_log_q,
Text: margin-sufficiency row mismatch,0.0000,python/run_margin_sufficiency_audit.py,python/outputs/margin_sufficiency_audit_summary.csv,transition_row_mismatch_share,
Text: margin-sufficiency Lambda p95 dispersion,0.00649,python/run_margin_sufficiency_audit.py,python/outputs/margin_sufficiency_audit_summary.csv,p95_abs_delta_log_lambda,
Manuscript data statement: replication URL,https://github.com/sbuhai/current-cell-matching-project,python/run_final_diagnostics.py,main.tex,Data and code availability,
