age,q_male,q_female,q_unisex,p_survive_to_next
20,0.001373,0.000507,0.0009400000000000001,0.99906
21,0.001488,0.000556,0.001022,0.998978
22,0.001605,0.00061,0.0011075,0.9988925
23,0.001714,0.000666,0.00119,0.99881
24,0.001835,0.000722,0.0012785000000000001,0.9987215
25,0.001963,0.000775,0.001369,0.998631
26,0.002082,0.000831,0.0014565000000000001,0.9985435
27,0.002202,0.000889,0.0015455,0.9984545
28,0.00233,0.000952,0.001641,0.998359
29,0.002457,0.001025,0.001741,0.998259
30,0.002574,0.001104,0.001839,0.998161
31,0.002683,0.001192,0.0019375,0.9980625
32,0.002787,0.001289,0.002038,0.997962
33,0.002881,0.001383,0.0021319999999999998,0.997868
34,0.002974,0.001465,0.0022195,0.9977805
35,0.003074,0.001544,0.002309,0.997691
36,0.003175,0.001626,0.0024005,0.9975995
37,0.003295,0.001719,0.002507,0.997493
38,0.003444,0.001824,0.002634,0.997366
39,0.003608,0.00194,0.002774,0.997226
40,0.00378,0.002066,0.0029230000000000003,0.997077
41,0.003958,0.002202,0.00308,0.99692
42,0.004144,0.002351,0.0032475,0.9967525
43,0.004337,0.002482,0.0034094999999999998,0.9965905
44,0.00454,0.002622,0.003581,0.996419
45,0.004774,0.002789,0.0037814999999999997,0.9962185
46,0.005064,0.002994,0.004029,0.995971
47,0.005399,0.003219,0.004309,0.995691
48,0.005796,0.003467,0.0046315,0.9953685
49,0.006214,0.003729,0.0049715,0.9950285
50,0.006671,0.004011,0.005341,0.994659
51,0.007167,0.004306,0.0057365,0.9942635
52,0.007736,0.004634,0.0061849999999999995,0.993815
53,0.008351,0.004981,0.006666,0.993334
54,0.009035,0.00537,0.0072025,0.9927975
55,0.00977,0.005831,0.0078005,0.9921995
56,0.010567,0.006326,0.0084465,0.9915535
57,0.011398,0.006837,0.0091175,0.9908825
58,0.012291,0.007399,0.009845,0.990155
59,0.013224,0.008033,0.010628499999999999,0.9893715
60,0.014267,0.008687,0.011477000000000001,0.988523
61,0.015353,0.009411,0.012382,0.987618
62,0.016484,0.010139,0.0133115,0.9866885
63,0.017617,0.010849,0.014232999999999999,0.985767
64,0.018759,0.01155,0.015154500000000001,0.9848455
65,0.019914,0.012216,0.016065,0.983935
66,0.021104,0.012952,0.017028,0.982972
67,0.022423,0.013844,0.0181335,0.9818665
68,0.023847,0.014863,0.019355,0.980645
69,0.025357,0.016028,0.020692500000000003,0.9793075
70,0.02705,0.017329,0.0221895,0.9778105
71,0.02897,0.018859,0.023914499999999998,0.9760855
72,0.031188,0.020609,0.025898499999999998,0.9741015
73,0.033754,0.02262,0.028187,0.971813
74,0.036747,0.024958,0.0308525,0.9691475
75,0.040563,0.027906,0.0342345,0.9657655
76,0.044308,0.030925,0.0376165,0.9623835000000001
77,0.048498,0.03414,0.041318999999999995,0.958681
78,0.053229,0.03762,0.0454245,0.9545755
79,0.058778,0.041725,0.0502515,0.9497485
80,0.064617,0.046324,0.05547049999999999,0.9445295
81,0.070947,0.051334,0.0611405,0.9388595
82,0.077834,0.056911,0.0673725,0.9326274999999999
83,0.085686,0.063279,0.07448250000000001,0.9255175
84,0.094809,0.070704,0.08275650000000001,0.9172435
85,0.10509,0.079184,0.092137,0.0
