social_rate,specification,mean_required_ratio,peak_age_average_ratio,spread,conditional_wasserstein
0.0,Nearest $\log \contv$,1.0467124899377138,1.1167120264286672,5.123457797833804,8.638936495925295
0.0,Nearest level $\contv$,1.0467124899377138,1.1167120264286672,5.123457797833804,8.638936495925295
0.0,Lower-sided $\log \contv$,1.0467124899377138,1.1167120264286672,5.123457797833804,8.638948582709192
0.0,Upper-sided $\log \contv$,1.0467124899377138,1.1167120264286672,5.123457797833804,8.63892068023707
0.02,Nearest $\log \contv$,1.0261887156252096,1.094815712184968,3.895694905470661,6.890600952112943
0.02,Nearest level $\contv$,1.0261887156252096,1.094815712184968,3.895694905470661,6.890600952112943
0.02,Lower-sided $\log \contv$,1.0261887156252096,1.094815712184968,3.895694905470661,6.890617673825453
0.02,Upper-sided $\log \contv$,1.0261887156252096,1.094815712184968,3.895694905470661,6.89057390761488
0.0344,Nearest $\log \contv$,1.0119030258485247,1.0795746581870336,3.026521792352143,5.230782950121662
0.0344,Nearest level $\contv$,1.0119030258485247,1.0795746581870336,3.026521792352143,5.230782950121662
0.0344,Lower-sided $\log \contv$,1.0119030258485247,1.0795746581870336,3.026521792352143,5.230845728300657
0.0344,Upper-sided $\log \contv$,1.0119030258485247,1.0795746581870336,3.026521792352143,5.230691341199233
